Text,Speaker,Start Time,End Time
"Okay, okay, that should now be recording",Chloe Bilverstone,00:00:00.000,00:00:05.415
"perfect. So, Elizabeth, I don't know how much your mum has told you about the study, but I'm going to tell you a bit about it now, and you can let me know if you have any questions, and then let me know if you want to continue with the game. So I'm going to share my screen. Give me 2 seconds",Chloe Bilverstone,00:00:06.350,00:00:23.020
just to show you what I'm reading out. Where is it? Here we go.,Chloe Bilverstone,00:00:23.120,00:00:29.530
"So I'm going to read it out, but it's also there if you want to read it as well. But essentially I go to university in London, and I'm part of a team looking into testing this new game that aims to help us understand parent and like Teenager, or, you know, just under teenager adolescent relationships and communication.",Chloe Bilverstone,00:00:30.440,00:00:48.590
"So in terms of your like involvement in the study, you'll play an online game today with your mom for 8 min. We're going to use Zoom to record the video of you playing. It doesn't require like any gaming skill, and I'll give you like the instructions before you get started. The rules are sort of very simple in terms of the information you give us. So the video, like I said, that will be kept safe and secure, and only me and the other researchers in the team will",Chloe Bilverstone,00:00:48.610,00:01:13.529
"see that you don't have to take part. Like I said, Yeah, it's not compulsory. And yeah, if you've got any questions you can let me know. If you do want to take part, you can let me know now and then we can get started. Yeah, that's it, really. Do you.",Chloe Bilverstone,00:01:13.530,00:01:26.889
"Yeah, we want to take part, don't we? Yeah.",joanna lyter,00:01:26.890,00:01:29.209
"Yeah, you're okay, perfect. I'll just stop sharing my screen now. And I'm gonna put in the chat a link to the game. So just give me 2 seconds.",Chloe Bilverstone,00:01:29.210,00:01:41.570
Copy that in to the chat.,Chloe Bilverstone,00:01:42.870,00:01:47.210
"so that should be there. Now, if you can open that up.",Chloe Bilverstone,00:01:47.440,00:01:50.319
You'll click it.,joanna lyter,00:01:53.450,00:01:54.499
He's here!,joanna lyter,00:01:56.630,00:01:57.750
"Yeah, does that open? And they should get the option to either do keyboard or touch screen depending on.",Chloe Bilverstone,00:01:57.990,00:02:02.839
We haven't got a touch screen in.,joanna lyter,00:02:02.840,00:02:04.210
"Okay, so, keyboard perfect.",Chloe Bilverstone,00:02:04.210,00:02:07.700
Does that all come up? Okay?,Chloe Bilverstone,00:02:08.150,00:02:09.909
Yeah. And you're able to share your screen.,Chloe Bilverstone,00:02:10.580,00:02:13.230
"Yeah, we sharing no. Wait.",joanna lyter,00:02:14.470,00:02:21.090
Minimize this and then go down and share.,joanna lyter,00:02:22.810,00:02:25.010
Yeah. Yeah.,joanna lyter,00:02:27.740,00:02:29.029
"Oh, how did she do that?",joanna lyter,00:02:29.520,00:02:31.200
Perfect.,Chloe Bilverstone,00:02:32.000,00:02:32.620
Okay.,joanna lyter,00:02:32.620,00:02:33.430
"There we go. Yeah, brilliant. So. And then, Elizabeth, you sat on the left.",Chloe Bilverstone,00:02:33.430,00:02:38.099
Yeah.,joanna lyter,00:02:38.640,00:02:39.210
Yep.,Chloe Bilverstone,00:02:39.210,00:02:39.640
"Oh, the right! She's on my right.",joanna lyter,00:02:39.640,00:02:41.450
"Oh, so you so I think it should be easier if Elizabeth on the left. And then, Joe, you're on the right, just for the.",Chloe Bilverstone,00:02:41.450,00:02:45.639
You sit here.,joanna lyter,00:02:45.640,00:02:46.499
A little bit of a change.,Chloe Bilverstone,00:02:49.110,00:02:50.687
Music which has perfect.,Chloe Bilverstone,00:02:52.000,00:02:55.640
"Yep, that's good, brilliant. So you should be able to see the etch-sketch in front of you. Have you guys seen an etch a sketch before.",Chloe Bilverstone,00:02:55.750,00:03:03.569
Yeah.,joanna lyter,00:03:03.570,00:03:04.280
"Yes, it's basically the same as like the physical one. But online, and you should be able to see the picture on the left hand side.",Chloe Bilverstone,00:03:04.280,00:03:11.990
Yep.,joanna lyter,00:03:12.840,00:03:13.280
"Yeah. So that's what we'd like you to copy onto the edge sketch by working together. But there is like a few rules which I'll talk you through now. So, Joe, you can only draw lines that are vertical. So up and down by pressing the O. And M. Keys.",Chloe Bilverstone,00:03:13.280,00:03:26.709
"And then, Elizabeth, you can only make horizontal lines. So, going side by side by pressing the A and D keys.",Chloe Bilverstone,00:03:27.030,00:03:33.330
"And but the most important thing to remember is, you're not allowed to touch each other each other's keys.",Chloe Bilverstone,00:03:33.660,00:03:38.220
"and you must stick to your keys if you want to. At any point start again. There is a button you should be able to see at the top. That says new, and once you start sort of drawing it will become clickable, and that will sort of reset it. And you can start again",Chloe Bilverstone,00:03:38.540,00:03:53.190
"if you like finish sort of before the time is up. If you can just like start again. We basically just want you to be playing for the whole 8 min. If possible. I will put a timer on and I will mute myself and turn my camera off, so I won't like distract you, and I'll come back on after the 8 min. But I'm still here, like, if you need anything, or you've got any issues? And yeah, I think that's it. Really, does that all make sense.",Chloe Bilverstone,00:03:53.490,00:04:21.319
Yep.,joanna lyter,00:04:21.320,00:04:21.940
"Yeah, perfect. So I'll get my timer up.",Chloe Bilverstone,00:04:21.940,00:04:25.380
Do do. So it's gonna be 8 min.,Chloe Bilverstone,00:04:26.073,00:04:29.540
"And yeah, are you guys ready to get started.",Chloe Bilverstone,00:04:30.370,00:04:32.910
Yeah.,joanna lyter,00:04:33.260,00:04:33.870
"Yeah, perfect. I'll start it from now.",Chloe Bilverstone,00:04:33.870,00:04:36.599
I'll go down and do the door. Shall I?,joanna lyter,00:04:41.810,00:04:44.390
"Okay, do you want to go that way?",joanna lyter,00:04:44.790,00:04:49.419
"Oh, we go to other house. Yeah. See? Stop. Oh.",joanna lyter,00:04:55.610,00:04:59.450
"yeah, I've got up. So is how is it? Yeah.",joanna lyter,00:04:59.770,00:05:03.010
"not all the way there. Well, it's got to be taller than the door. There you go.",joanna lyter,00:05:03.350,00:05:07.350
Hmm!,joanna lyter,00:05:07.890,00:05:08.860
I'll go down,joanna lyter,00:05:12.485,00:05:16.339
when you go up.,joanna lyter,00:05:23.830,00:05:24.980
"Well, you want to go. Oh, yeah.",joanna lyter,00:05:25.630,00:05:27.360
Hmm!,joanna lyter,00:05:38.750,00:05:39.410
You go down.,joanna lyter,00:05:41.350,00:05:42.359
"Oh, yeah. Who's down",joanna lyter,00:05:42.900,00:05:44.409
window? Go up again through the house. Yeah.,joanna lyter,00:05:49.310,00:05:53.270
"you go up. Oh, I go up. Yeah. Yeah.",joanna lyter,00:05:55.170,00:05:58.120
How do we do like?,joanna lyter,00:05:59.720,00:06:00.999
"Oh, yeah, I think we go the same night.",joanna lyter,00:06:01.750,00:06:06.270
"Oh, if we hold that way and up at the same time.",joanna lyter,00:06:15.480,00:06:20.989
"So right ready after 3, 1, 2, 3 go!",joanna lyter,00:06:21.120,00:06:25.679
"Oh, and then and then we'll go down. Yeah. Well done.",joanna lyter,00:06:26.760,00:06:31.410
"Alright ready. Go. Oh, how do we rub it out? Where did she say? Start again?",joanna lyter,00:06:31.610,00:06:39.080
"Oh, no. Yeah. Hold on.",joanna lyter,00:06:40.370,00:06:43.909
Okay.,joanna lyter,00:06:44.660,00:06:45.410
"Oh, we know how to do that now.",joanna lyter,00:06:45.994,00:06:48.990
"Okay, right. Where do you want to start? Oh, oh, mother!",joanna lyter,00:06:49.540,00:06:53.350
"Well, we'll do the roof. Should we do the okay, free",joanna lyter,00:06:54.460,00:06:58.770
"2 hang on. Wait! Wait! Which way are we going? I want you want me to go up. Yeah, 3, 2, 1 hang on. Wait! Wait! Wait",joanna lyter,00:06:58.980,00:07:05.860
up.,joanna lyter,00:07:06.190,00:07:06.950
Let's start again.,joanna lyter,00:07:08.900,00:07:10.895
Right? Let's go start here.,joanna lyter,00:07:14.910,00:07:16.909
Why won't it start?,joanna lyter,00:07:17.500,00:07:18.819
There we go right. Should we do the the? If I go down I'll do that.,joanna lyter,00:07:19.560,00:07:26.780
What are you doing? No dude? Hang on.,joanna lyter,00:07:27.380,00:07:31.619
"All right, let's do.",joanna lyter,00:07:32.070,00:07:33.550
"I'll do the chimney first.st Yeah, the chim. Oh, yeah, that's what sorry I didn't make myself very clear, did I? Let's start.",joanna lyter,00:07:33.720,00:07:41.410
"Oh, you saw where your mouse is. Yeah, do you? Yeah.",joanna lyter,00:07:44.720,00:07:49.120
we've already started there right? Go across. We could do that bit. Yeah.,joanna lyter,00:07:51.310,00:07:54.780
"a little bit, that's it, and then I'll come down.",joanna lyter,00:07:55.100,00:07:57.650
I'll go. I'll go back up.,joanna lyter,00:07:59.440,00:08:01.670
"Yeah. Oh, you go back over and we'll go down and make that other side a bit longer.",joanna lyter,00:08:02.366,00:08:07.699
Right now we're going to go that way. So you want to go.,joanna lyter,00:08:10.710,00:08:14.690
"DD, and I want to go.",joanna lyter,00:08:15.230,00:08:17.740
"M. Ready. 1, 2, 3.",joanna lyter,00:08:18.360,00:08:20.640
Well done!,joanna lyter,00:08:21.180,00:08:22.150
Right now we're going to go. I'll go down.,joanna lyter,00:08:22.280,00:08:24.980
You go across and then stop when you want to get to the middle.,joanna lyter,00:08:26.830,00:08:32.740
I'll go up. Don't go up too much.,joanna lyter,00:08:33.020,00:08:35.030
Can we still stop?,joanna lyter,00:08:36.169,00:08:37.590
"Okay, I'll go down.",joanna lyter,00:08:39.049,00:08:40.410
"It's a big, fat house.",joanna lyter,00:08:47.060,00:08:48.440
I'll go up.,joanna lyter,00:08:48.740,00:08:49.780
Tell me when to stop.,joanna lyter,00:08:50.450,00:08:51.779
"Stop. Yeah, yeah, we're going to go up and across. Why were we?",joanna lyter,00:08:54.040,00:08:58.309
"1, 2, 3, cool, and then great.",joanna lyter,00:08:58.440,00:09:04.850
Down right go a bit over a bit more.,joanna lyter,00:09:04.970,00:09:07.530
"Right? We're going to go down. 1, 2, 3.",joanna lyter,00:09:08.340,00:09:11.610
"That'll do. That's a fairly good house you go across. Oh, yeah, yeah, go across.",joanna lyter,00:09:13.580,00:09:18.840
"It's good. It's good, right. How do we get to do the windows? Windows? Oh, no! Go down.",joanna lyter,00:09:20.010,00:09:27.110
"We go down same time. Ready? 1, 2, 3.",joanna lyter,00:09:27.530,00:09:31.099
"No, mum, you said, go down.",joanna lyter,00:09:31.700,00:09:33.930
"you said go down. They didn't keep going down. Oh, do you want to start again? No. Go up",joanna lyter,00:09:35.130,00:09:41.379
"when we go up. Yeah, and then stop.",joanna lyter,00:09:41.720,00:09:45.910
"It's still right there. Yeah of the day. And then, oh, look at you nice.",joanna lyter,00:09:46.120,00:09:57.440
